Date,Sun Rise,Sun Set,Length of Day,Moon Rise,Moon Set,Moon Overhead,Moon Underfoot,Moon Phase,Major Times 1,Major Times 2,Minor Times 1, Minor Times 2,Prediction,Rating
1/1/2017,8:17 AM,5:10 PM,08 hrs. 53 mins.,10:18 AM,8:52 PM,3:33 PM,3:09 AM,11% Waxing,3:09 AM - 5:09 AM,3:33 PM - 5:33 PM,10:18 AM - 11:18 AM,8:52 PM - 9:52 PM,Average,1
1/2/2017,8:17 AM,5:11 PM,08 hrs. 54 mins.,10:52 AM,9:57 PM,4:22 PM,3:58 AM,19% Waxing,3:58 AM - 5:58 AM,4:22 PM - 6:22 PM,10:52 AM - 11:52 AM,9:57 PM - 10:57 PM,Average,1
1/3/2017,8:17 AM,5:12 PM,08 hrs. 55 mins.,11:24 AM,11:04 PM,5:11 PM,4:46 AM,28% Waxing,4:46 AM - 6:46 AM,5:11 PM - 7:11 PM,11:24 AM - 12:24 PM,11:04 PM - 12:04 AM,Average,1
1/4/2017,8:17 AM,5:13 PM,08 hrs. 56 mins.,11:55 AM,--:--,6:00 PM,5:35 AM,38% Waxing,5:35 AM - 7:35 AM,6:00 PM - 8:00 PM,11:55 AM - 12:55 PM,--:-- - --:--,Average,1
1/5/2017,8:17 AM,5:14 PM,08 hrs. 57 mins.,12:26 PM,12:11 AM,6:50 PM,6:24 AM,50% First,6:24 AM - 8:24 AM,6:50 PM - 8:50 PM,12:11 AM - 1:11 AM,12:26 PM - 1:26 PM,Average,1
1/6/2017,8:17 AM,5:15 PM,08 hrs. 58 mins.,12:59 PM,1:21 AM,7:41 PM,7:15 AM,60% Waxing,7:15 AM - 9:15 AM,7:41 PM - 9:41 PM,1:21 AM - 2:21 AM,12:59 PM - 1:59 PM,Average,1
1/7/2017,8:16 AM,5:16 PM,09 hrs. 00 mins.,1:34 PM,2:32 AM,8:35 PM,8:08 AM,71% Waxing,8:08 AM - 10:08 AM,8:35 PM - 10:35 PM,2:32 AM - 3:32 AM,1:34 PM - 2:34 PM,Average,1
1/8/2017,8:16 AM,5:18 PM,09 hrs. 02 mins.,2:14 PM,3:44 AM,9:32 PM,9:03 AM,81% Waxing,9:03 AM - 11:03 AM,9:32 PM - 11:32 PM,3:44 AM - 4:44 AM,2:14 PM - 3:14 PM,Average,1
1/9/2017,8:16 AM,5:19 PM,09 hrs. 03 mins.,3:01 PM,4:56 AM,10:31 PM,10:02 AM,89% Waxing,10:02 AM - 12:02 PM,10:31 PM - 12:31 AM,4:56 AM - 5:56 AM,3:01 PM - 4:01 PM,Average,1
1/10/2017,8:16 AM,5:20 PM,09 hrs. 04 mins.,3:55 PM,6:05 AM,11:32 PM,11:02 AM,96% Waxing,11:02 AM - 1:02 PM,11:32 PM - 1:32 AM,6:05 AM - 7:05 AM,3:55 PM - 4:55 PM,Better,3
