Date,Sun Rise,Sun Set,Length of Day,Moon Rise,Moon Set,Moon Overhead,Moon Underfoot,Moon Phase,Major Times 1,Major Times 2,Minor Times 1, Minor Times 2,Prediction,Rating
2/1/2017,7:59 AM,5:49 PM,09 hrs. 50 mins.,10:30 AM,11:13 PM,4:48 PM,4:23 AM,23% Waxing,4:23 AM - 6:23 AM,4:48 PM - 6:48 PM,10:30 AM - 11:30 AM,11:13 PM - 12:13 AM,Average,1
2/2/2017,7:58 AM,5:50 PM,09 hrs. 52 mins.,11:02 AM,--:--,5:38 PM,5:13 AM,34% Waxing,5:13 AM - 7:13 AM,5:38 PM - 7:38 PM,11:02 AM - 12:02 PM,--:-- - --:--,Average,1
2/3/2017,7:56 AM,5:52 PM,09 hrs. 56 mins.,11:36 AM,12:22 AM,6:31 PM,6:04 AM,50% First,6:04 AM - 8:04 AM,6:31 PM - 8:31 PM,12:22 AM - 1:22 AM,11:36 AM - 12:36 PM,Average,1
2/4/2017,7:55 AM,5:53 PM,09 hrs. 58 mins.,12:13 PM,1:33 AM,7:25 PM,6:57 AM,56% Waxing,6:57 AM - 8:57 AM,7:25 PM - 9:25 PM,1:33 AM - 2:33 AM,12:13 PM - 1:13 PM,Average,1
2/5/2017,7:54 AM,5:55 PM,10 hrs. 01 mins.,12:56 PM,2:42 AM,8:21 PM,7:53 AM,67% Waxing,7:53 AM - 9:53 AM,8:21 PM - 10:21 PM,2:42 AM - 3:42 AM,12:56 PM - 1:56 PM,Average,1
2/6/2017,7:53 AM,5:56 PM,10 hrs. 03 mins.,1:45 PM,3:50 AM,9:19 PM,8:50 AM,78% Waxing,8:50 AM - 10:50 AM,9:19 PM - 11:19 PM,3:50 AM - 4:50 AM,1:45 PM - 2:45 PM,Average,1
2/7/2017,7:51 AM,5:57 PM,10 hrs. 06 mins.,2:40 PM,4:54 AM,10:18 PM,9:48 AM,86% Waxing,9:48 AM - 11:48 AM,10:18 PM - 12:18 AM,4:54 AM - 5:54 AM,2:40 PM - 3:40 PM,Average,1
2/8/2017,7:50 AM,5:59 PM,10 hrs. 09 mins.,3:42 PM,5:52 AM,11:16 PM,10:47 AM,93% Waxing,10:47 AM - 12:47 PM,11:16 PM - 1:16 AM,5:52 AM - 6:52 AM,3:42 PM - 4:42 PM,Good,2
2/9/2017,7:49 AM,6:00 PM,10 hrs. 11 mins.,4:48 PM,6:42 AM,--:--,11:44 AM,98% Waxing,--:-- - --:--,11:44 AM - 1:44 PM,6:42 AM - 7:42 AM,4:48 PM - 5:48 PM,Better,3
2/10/2017,7:47 AM,6:02 PM,10 hrs. 15 mins.,5:56 PM,7:26 AM,12:12 AM,12:39 PM,100% FULL,12:12 AM - 2:12 AM,12:39 PM - 2:39 PM,7:26 AM - 8:26 AM,5:56 PM - 6:56 PM,Best,4
2/11/2017,7:46 AM,6:03 PM,10 hrs. 17 mins.,7:03 PM,8:04 AM,1:05 AM,1:31 PM,99% Waning,1:05 AM - 3:05 AM,1:31 PM - 3:31 PM,8:04 AM - 9:04 AM,7:03 PM - 8:03 PM,Best,4
2/12/2017,7:44 AM,6:04 PM,10 hrs. 20 mins.,8:09 PM,8:37 AM,1:56 AM,2:20 PM,97% Waning,1:56 AM - 3:56 AM,2:20 PM - 4:20 PM,8:37 AM - 9:37 AM,8:09 PM - 9:09 PM,Better,3
