Date,Sun Rise,Sun Set,Length of Day,Moon Rise,Moon Set,Moon Overhead,Moon Underfoot,Moon Phase,Major Times 1,Major Times 2,Minor Times 1, Minor Times 2,Prediction,Rating
10/1/2017,7:38 AM,7:20 PM,11 hrs. 42 mins.,5:29 PM,2:55 AM,10:41 PM,10:17 AM,82% Waxing,10:17 AM - 12:17 PM,10:41 PM - 12:41 AM,2:55 AM - 3:55 AM,5:29 PM - 6:29 PM,Average,1
10/2/2017,7:40 AM,7:18 PM,11 hrs. 38 mins.,6:03 PM,3:57 AM,11:29 PM,11:05 AM,89% Waxing,11:05 AM - 1:05 PM,11:29 PM - 1:29 AM,3:57 AM - 4:57 AM,6:03 PM - 7:03 PM,Average,1
10/3/2017,7:41 AM,7:16 PM,11 hrs. 35 mins.,6:34 PM,5:02 AM,--:--,11:54 AM,95% Waxing,--:-- - --:--,11:54 AM - 1:54 PM,5:02 AM - 6:02 AM,6:34 PM - 7:34 PM,Better,3
10/4/2017,7:42 AM,7:14 PM,11 hrs. 32 mins.,7:05 PM,6:09 AM,12:18 AM,12:43 PM,98% Waxing,12:18 AM - 2:18 AM,12:43 PM - 2:43 PM,6:09 AM - 7:09 AM,7:05 PM - 8:05 PM,Better,3
10/5/2017,7:43 AM,7:13 PM,11 hrs. 30 mins.,7:36 PM,7:18 AM,1:08 AM,1:33 PM,100% FULL,1:08 AM - 3:08 AM,1:33 PM - 3:33 PM,7:18 AM - 8:18 AM,7:36 PM - 8:36 PM,Best,4
10/6/2017,7:44 AM,7:11 PM,11 hrs. 27 mins.,8:07 PM,8:29 AM,1:58 AM,2:24 PM,99% Waning,1:58 AM - 3:58 AM,2:24 PM - 4:24 PM,8:29 AM - 9:29 AM,8:07 PM - 9:07 PM,Better,3
10/7/2017,7:46 AM,7:09 PM,11 hrs. 23 mins.,8:42 PM,9:42 AM,2:50 AM,3:17 PM,95% Waning,2:50 AM - 4:50 AM,3:17 PM - 5:17 PM,9:42 AM - 10:42 AM,8:42 PM - 9:42 PM,Better,3
10/8/2017,7:47 AM,7:07 PM,11 hrs. 20 mins.,9:22 PM,10:55 AM,3:45 AM,4:12 PM,89% Waning,3:45 AM - 5:45 AM,4:12 PM - 6:12 PM,10:55 AM - 11:55 AM,9:22 PM - 10:22 PM,Average,1
10/9/2017,7:48 AM,7:05 PM,11 hrs. 17 mins.,10:06 PM,12:06 PM,4:41 AM,5:10 PM,81% Waning,4:41 AM - 6:41 AM,5:10 PM - 7:10 PM,12:06 PM - 1:06 PM,10:06 PM - 11:06 PM,Average,1
10/10/2017,7:49 AM,7:04 PM,11 hrs. 15 mins.,10:58 PM,1:14 PM,5:39 AM,6:08 PM,71% Waning,5:39 AM - 7:39 AM,6:08 PM - 8:08 PM,1:14 PM - 2:14 PM,10:58 PM - 11:58 PM,Average,1
10/11/2017,7:51 AM,7:02 PM,11 hrs. 11 mins.,11:56 PM,2:16 PM,6:38 AM,7:07 PM,60% Waning,6:38 AM - 8:38 AM,7:07 PM - 9:07 PM,2:16 PM - 3:16 PM,11:56 PM - 12:56 AM,Average,1
10/12/2017,7:52 AM,7:00 PM,11 hrs. 08 mins.,--:--,3:11 PM,7:36 AM,8:05 PM,50% Last,7:36 AM - 9:36 AM,8:05 PM - 10:05 PM,--:-- - --:--,3:11 PM - 4:11 PM,Average,1
10/13/2017,7:53 AM,6:58 PM,11 hrs. 05 mins.,12:59 AM,3:58 PM,8:33 AM,9:00 PM,37% Waning,8:33 AM - 10:33 AM,9:00 PM - 11:00 PM,12:59 AM - 1:59 AM,3:58 PM - 4:58 PM,Average,1
10/14/2017,7:54 AM,6:56 PM,11 hrs. 02 mins.,2:05 AM,4:39 PM,9:27 AM,9:54 PM,27% Waning,9:27 AM - 11:27 AM,9:54 PM - 11:54 PM,2:05 AM - 3:05 AM,4:39 PM - 5:39 PM,Average,1
10/15/2017,7:56 AM,6:55 PM,10 hrs. 59 mins.,3:13 AM,5:14 PM,10:19 AM,10:45 PM,18% Waning,10:19 AM - 12:19 PM,10:45 PM - 12:45 AM,3:13 AM - 4:13 AM,5:14 PM - 6:14 PM,Average,1
10/16/2017,7:57 AM,6:53 PM,10 hrs. 56 mins.,4:20 AM,5:46 PM,11:09 AM,11:33 PM,10% Waning,11:09 AM - 1:09 PM,11:33 PM - 1:33 AM,4:20 AM - 5:20 AM,5:46 PM - 6:46 PM,Average,1
