Date,Sun Rise,Sun Set,Length of Day,Moon Rise,Moon Set,Moon Overhead,Moon Underfoot,Moon Phase,Major Times 1,Major Times 2,Minor Times 1, Minor Times 2,Prediction,Rating
6/1/2017,5:57 AM,9:19 PM,15 hrs. 22 mins.,1:31 PM,2:16 AM,8:15 PM,7:51 AM,50% First,7:51 AM - 9:51 AM,8:15 PM - 10:15 PM,2:16 AM - 3:16 AM,1:31 PM - 2:31 PM,Average,1
6/2/2017,5:57 AM,9:20 PM,15 hrs. 23 mins.,2:34 PM,2:47 AM,9:00 PM,8:38 AM,62% Waxing,8:38 AM - 10:38 AM,9:00 PM - 11:00 PM,2:47 AM - 3:47 AM,2:34 PM - 3:34 PM,Average,1
6/3/2017,5:56 AM,9:21 PM,15 hrs. 25 mins.,3:37 PM,3:15 AM,9:44 PM,9:22 AM,71% Waxing,9:22 AM - 11:22 AM,9:44 PM - 11:44 PM,3:15 AM - 4:15 AM,3:37 PM - 4:37 PM,Average,1
6/4/2017,5:56 AM,9:21 PM,15 hrs. 25 mins.,4:37 PM,3:42 AM,10:28 PM,10:06 AM,80% Waxing,10:06 AM - 12:06 PM,10:28 PM - 12:28 AM,3:42 AM - 4:42 AM,4:37 PM - 5:37 PM,Average,1
6/5/2017,5:55 AM,9:22 PM,15 hrs. 27 mins.,5:37 PM,4:09 AM,11:11 PM,10:50 AM,87% Waxing,10:50 AM - 12:50 PM,11:11 PM - 1:11 AM,4:09 AM - 5:09 AM,5:37 PM - 6:37 PM,Average,1
6/6/2017,5:55 AM,9:23 PM,15 hrs. 28 mins.,6:36 PM,4:37 AM,--:--,11:33 AM,93% Waxing,--:-- - --:--,11:33 AM - 1:33 PM,4:37 AM - 5:37 AM,6:36 PM - 7:36 PM,Good,2
6/7/2017,5:55 AM,9:23 PM,15 hrs. 28 mins.,7:34 PM,5:07 AM,--:--,12:18 PM,97% Waxing,--:-- - --:--,12:18 PM - 2:18 PM,5:07 AM - 6:07 AM,7:34 PM - 8:34 PM,Better,3
6/8/2017,5:55 AM,9:24 PM,15 hrs. 29 mins.,8:30 PM,5:41 AM,12:41 AM,1:04 PM,99% Waxing,12:41 AM - 2:41 AM,1:04 PM - 3:04 PM,5:41 AM - 6:41 AM,8:30 PM - 9:30 PM,Best,4
6/9/2017,5:54 AM,9:25 PM,15 hrs. 31 mins.,9:25 PM,6:18 AM,1:27 AM,1:51 PM,100% FULL,1:27 AM - 3:27 AM,1:51 PM - 3:51 PM,6:18 AM - 7:18 AM,9:25 PM - 10:25 PM,Best,4
6/10/2017,5:54 AM,9:25 PM,15 hrs. 31 mins.,10:15 PM,7:01 AM,2:14 AM,2:38 PM,99% Waning,2:14 AM - 4:14 AM,2:38 PM - 4:38 PM,7:01 AM - 8:01 AM,10:15 PM - 11:15 PM,Better,3
