Date,Sun Rise,Sun Set,Length of Day,Moon Rise,Moon Set,Moon Overhead,Moon Underfoot,Moon Phase,Major Times 1,Major Times 2,Minor Times 1, Minor Times 2,Prediction,Rating
5/1/2017,6:29 AM,8:45 PM,14 hrs. 16 mins.,11:19 AM,1:32 AM,6:54 PM,6:25 AM,34% Waxing,6:25 AM - 8:25 AM,6:54 PM - 8:54 PM,1:32 AM - 2:32 AM,11:19 AM - 12:19 PM,Average,1
5/2/2017,6:28 AM,8:46 PM,14 hrs. 18 mins.,12:24 PM,2:22 AM,7:49 PM,7:22 AM,50% First,7:22 AM - 9:22 AM,7:49 PM - 9:49 PM,2:22 AM - 3:22 AM,12:24 PM - 1:24 PM,Average,1
5/3/2017,6:26 AM,8:48 PM,14 hrs. 22 mins.,1:31 PM,3:04 AM,8:41 PM,8:15 AM,56% Waxing,8:15 AM - 10:15 AM,8:41 PM - 10:41 PM,3:04 AM - 4:04 AM,1:31 PM - 2:31 PM,Average,1
5/4/2017,6:25 AM,8:49 PM,14 hrs. 24 mins.,2:35 PM,3:41 AM,9:30 PM,9:06 AM,66% Waxing,9:06 AM - 11:06 AM,9:30 PM - 11:30 PM,3:41 AM - 4:41 AM,2:35 PM - 3:35 PM,Average,1
5/5/2017,6:23 AM,8:50 PM,14 hrs. 27 mins.,3:40 PM,4:13 AM,10:16 PM,9:53 AM,76% Waxing,9:53 AM - 11:53 AM,10:16 PM - 12:16 AM,4:13 AM - 5:13 AM,3:40 PM - 4:40 PM,Average,1
5/6/2017,6:22 AM,8:51 PM,14 hrs. 29 mins.,4:42 PM,4:42 AM,11:01 PM,10:39 AM,84% Waxing,10:39 AM - 12:39 PM,11:01 PM - 1:01 AM,4:42 AM - 5:42 AM,4:42 PM - 5:42 PM,Average,1
5/7/2017,6:21 AM,8:52 PM,14 hrs. 31 mins.,5:44 PM,5:10 AM,--:--,11:23 AM,90% Waxing,--:-- - --:--,11:23 AM - 1:23 PM,5:10 AM - 6:10 AM,5:44 PM - 6:44 PM,Good,2
5/8/2017,6:19 AM,8:54 PM,14 hrs. 35 mins.,6:44 PM,5:37 AM,--:--,12:07 PM,95% Waxing,--:-- - --:--,12:07 PM - 2:07 PM,5:37 AM - 6:37 AM,6:44 PM - 7:44 PM,Better,3
5/9/2017,6:18 AM,8:55 PM,14 hrs. 37 mins.,7:44 PM,6:04 AM,12:29 AM,12:51 PM,99% Waxing,12:29 AM - 2:29 AM,12:51 PM - 2:51 PM,6:04 AM - 7:04 AM,7:44 PM - 8:44 PM,Better,3
5/10/2017,6:17 AM,8:56 PM,14 hrs. 39 mins.,8:42 PM,6:33 AM,1:13 AM,1:35 PM,100% FULL,1:13 AM - 3:13 AM,1:35 PM - 3:35 PM,6:33 AM - 7:33 AM,8:42 PM - 9:42 PM,Best,4
