Date,Sun Rise,Sun Set,Length of Day,Moon Rise,Moon Set,Moon Overhead,Moon Underfoot,Moon Phase,Major Times 1,Major Times 2,Minor Times 1, Minor Times 2,Prediction,Rating
4/1/2017,7:20 AM,8:08 PM,12 hrs. 48 mins.,10:38 AM,12:33 AM,6:08 PM,5:39 AM,27% Waxing,5:39 AM - 7:39 AM,6:08 PM - 8:08 PM,12:33 AM - 1:33 AM,10:38 AM - 11:38 AM,Average,1
4/2/2017,7:19 AM,8:09 PM,12 hrs. 50 mins.,11:30 AM,1:41 AM,7:06 PM,6:37 AM,37% Waxing,6:37 AM - 8:37 AM,7:06 PM - 9:06 PM,1:41 AM - 2:41 AM,11:30 AM - 12:30 PM,Average,1
4/3/2017,7:17 AM,8:10 PM,12 hrs. 53 mins.,12:27 PM,2:42 AM,8:04 PM,7:35 AM,50% First,7:35 AM - 9:35 AM,8:04 PM - 10:04 PM,2:42 AM - 3:42 AM,12:27 PM - 1:27 PM,Average,1
4/4/2017,7:15 AM,8:11 PM,12 hrs. 56 mins.,1:29 PM,3:36 AM,8:59 PM,8:32 AM,60% Waxing,8:32 AM - 10:32 AM,8:59 PM - 10:59 PM,3:36 AM - 4:36 AM,1:29 PM - 2:29 PM,Average,1
4/5/2017,7:13 AM,8:13 PM,13 hrs. 00 mins.,2:33 PM,4:22 AM,9:52 PM,9:26 AM,70% Waxing,9:26 AM - 11:26 AM,9:52 PM - 11:52 PM,4:22 AM - 5:22 AM,2:33 PM - 3:33 PM,Average,1
4/6/2017,7:11 AM,8:14 PM,13 hrs. 03 mins.,3:38 PM,5:02 AM,10:43 PM,10:18 AM,80% Waxing,10:18 AM - 12:18 PM,10:43 PM - 12:43 AM,5:02 AM - 6:02 AM,3:38 PM - 4:38 PM,Average,1
4/7/2017,7:09 AM,8:15 PM,13 hrs. 06 mins.,4:43 PM,5:37 AM,11:31 PM,11:07 AM,87% Waxing,11:07 AM - 1:07 PM,11:31 PM - 1:31 AM,5:37 AM - 6:37 AM,4:43 PM - 5:43 PM,Average,1
4/8/2017,7:08 AM,8:16 PM,13 hrs. 08 mins.,5:47 PM,6:08 AM,--:--,11:55 AM,93% Waxing,--:-- - --:--,11:55 AM - 1:55 PM,6:08 AM - 7:08 AM,5:47 PM - 6:47 PM,Good,2
4/9/2017,7:06 AM,8:18 PM,13 hrs. 12 mins.,6:49 PM,6:37 AM,12:18 AM,12:40 PM,97% Waxing,12:18 AM - 2:18 AM,12:40 PM - 2:40 PM,6:37 AM - 7:37 AM,6:49 PM - 7:49 PM,Better,3
4/10/2017,7:04 AM,8:19 PM,13 hrs. 15 mins.,7:51 PM,7:05 AM,1:03 AM,1:25 PM,100% Waxing,1:03 AM - 3:03 AM,1:25 PM - 3:25 PM,7:05 AM - 8:05 AM,7:51 PM - 8:51 PM,Best,4
4/11/2017,7:02 AM,8:20 PM,13 hrs. 18 mins.,8:52 PM,7:33 AM,1:47 AM,2:09 PM,100% FULL,1:47 AM - 3:47 AM,2:09 PM - 4:09 PM,7:33 AM - 8:33 AM,8:52 PM - 9:52 PM,Best,4
